City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Maryborough,AU,79.54,scattered clouds,-25.5333,152.7,Blue Shades Motel
562,Auki,SB,86.02,overcast clouds,-8.7676,160.7034,Auki Motel
564,Flinders,AU,80.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
565,Manggar,ID,86.23,few clouds,-2.8833,108.2667,Guest Hotel
566,Soure,BR,77.85,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
568,Aswan,EG,81.01,few clouds,24.0934,32.907,Nuba Nile
571,Payo,ID,84.42,overcast clouds,-3.7508,103.6372,Mess keban agung
573,Broken Hill,AU,81.16,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
574,Uthai Thani,TH,88.09,scattered clouds,15.3833,99.55,เด็กชายพุฒิพงศ์ แจ่มจันทร์
579,Qui Nhon,VN,80.1,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
581,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
583,Harper,LR,77.47,overcast clouds,4.375,-7.7169,Screensaver
593,San-Pedro,CI,76.96,overcast clouds,4.7485,-6.6363,Hotel Maria
595,Bairiki,KI,80.85,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
596,Acapulco,MX,78.57,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
600,Saguday,PH,82.09,scattered clouds,16.5428,121.5638,ABRASA MPC HOTEL
607,Kyabe,TD,82.18,overcast clouds,9.4515,18.9449,
610,Tuy Hoa,VN,79.95,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
617,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
620,Waingapu,ID,84.18,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
623,Pascagoula,US,78.85,few clouds,30.3658,-88.5561,Regency Inn
627,Pangai,TO,82.44,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
633,Edd,ER,82.08,clear sky,13.9297,41.6925,
648,Kaura Namoda,NG,86.16,overcast clouds,12.5898,6.5779,Moonlight Hotel
649,Miraflores,MX,79.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
651,Carutapera,BR,75.83,overcast clouds,-1.195,-46.02,Lidera
653,Key West,US,78.01,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
654,Katwa,IN,85.77,clear sky,23.6399,88.128,AURS MULTITRADE INDIA
656,Laguna De Perlas,NI,79.39,scattered clouds,12.3429,-83.6712,Hotel Best View
659,Nogales,MX,78.37,clear sky,31.3086,-110.9422,Siesta Motel
661,Nizwa,OM,77.5,clear sky,22.9333,57.5333,Orient Apartments
